ISA,Rows,Algorithms,Median_Cycles,Median_CV_pct,Median_TAF,Median_Energy_uJ,No64KBFailure_pct
ARC_EM,39,13,6489240.0,0.048,1.0,11680.632,100.0
ARC_HS,39,13,6385176.0,0.048,1.0,11493.317,100.0
ARM_Cortex-A53,42,14,7363087.0,0.0735,1.0,6479.516,92.857
ARM_Cortex-A9,30,10,31763577.0,0.0585,1.0,38861.56,100.0
ARM_Cortex-R5,24,8,23893714.5,0.021,1.0,143362.287,100.0
MIPS_Malta,39,13,14736742.0,0.055,1.0,8473.627,100.0
RISC-V_32,42,14,7844861.5,0.036,1.0,37655.335,92.857
RISC-V_32E,42,14,8959363.5,0.038,1.0,37629.327,92.857
RISC-V_64,42,14,6295056.0,0.04,1.0,33993.302,92.857
SPARC_LEON3,36,12,36798295.0,0.046,1.0,156392.754,100.0
Xtensa_ESP32,42,14,18838535.5,0.035,1.0,226062.426,100.0
x86_32,39,13,50732838.0,1.162,1.0,760992.57,92.308
x86_64,42,14,429211.5,11.3705,0.914,12876.345,92.857
