Family,Algorithm,Operation,Rows,Median_Cycles,Median_p99_Cycles,Median_CV_pct,Median_TAF,Median_Energy_uJ,Median_Entropy_ms,Median_Stack_KB
Classic McEliece,mceliece348864f,decaps,6,216427681.0,216427974.0,0.0,1.0,916660.965,452164.9,424.809
Classic McEliece,mceliece348864f,encaps,6,5444422.5,5758983.5,1.6545,0.935,24139.356,434684.7,424.809
Classic McEliece,mceliece348864f,keypair,6,6440343520.0,6440306030.0,0.0235,1.0,28973591.129,434313.9,424.676
Falcon,falcon-1024,keypair,12,445328836.5,1133873221.0,42.523,0.6865,1393273.203,35164.8,84.263
Falcon,falcon-1024,sign,12,94590835.0,94893976.0,0.135,0.999,287983.574,45355.8,92.224
Falcon,falcon-1024,verify,12,1104376.0,1104767.0,0.038,1.0,3691.34,39575.8,92.529
Falcon,falcon-512,keypair,13,158197903.0,229856377.0,31.002,1.054,759105.626,16527.6,44.098
Falcon,falcon-512,sign,13,44090285.0,44225411.0,0.221,1.002,204138.379,17376.2,52.066
Falcon,falcon-512,verify,13,567378.0,567648.0,0.095,1.006,2590.715,17861.0,52.363
Falcon,falcon-padded-1024,keypair,11,441802139.0,922581972.0,41.698,0.979,1959893.443,36927.8,84.176
Falcon,falcon-padded-1024,sign,11,93050963.0,93259184.0,3.099,1.0,404488.442,38587.6,92.145
Falcon,falcon-padded-1024,verify,11,1061160.0,1061730.0,0.041,1.0,5093.568,36947.0,92.449
Falcon,falcon-padded-512,keypair,13,160546120.0,387794829.0,36.539,0.923,712737.501,13801.6,44.082
Falcon,falcon-padded-512,sign,13,44084487.0,44314288.0,0.201,0.998,204419.693,14504.4,52.051
Falcon,falcon-padded-512,verify,13,567773.0,567905.0,0.083,1.0,2591.174,16584.8,52.355
HQC,hqc-128,decaps,13,134346352.0,134346575.0,0.0,1.0,466901.21,21482.6,63.055
HQC,hqc-128,encaps,13,86365473.0,86365733.0,0.001,1.0,294344.113,10542.8,58.719
HQC,hqc-128,keypair,13,42799040.0,42799202.0,0.001,1.0,145684.624,3491.0,54.867
HQC,hqc-256,decaps,12,736250767.5,736250969.5,0.0,1.0,2100791.818,106067.6,180.188
HQC,hqc-256,encaps,12,481770376.0,481770963.5,0.0,1.0,1362700.485,52348.7,172.0
HQC,hqc-256,keypair,12,239724062.5,239724551.5,0.0,1.0,678135.62,17390.6,172.0
ML-DSA,ml-dsa-44,keypair,11,1902484.0,1947849.0,0.896,0.991,5644.868,168.8,52.504
ML-DSA,ml-dsa-44,sign,11,6489240.0,21599068.0,63.576,0.79,23845.752,789.8,60.531
ML-DSA,ml-dsa-44,verify,11,2038964.0,2039618.0,0.016,1.0,6243.723,855.6,60.836
ML-DSA,ml-dsa-65,keypair,11,3323930.0,3324563.0,0.017,1.0,9615.083,288.0,79.566
ML-DSA,ml-dsa-65,sign,11,10153196.0,34872070.0,67.876,0.797,38298.501,1183.6,87.531
ML-DSA,ml-dsa-65,verify,11,3389794.0,3389836.0,0.012,1.0,10195.292,1328.6,87.836
ML-DSA,ml-dsa-87,keypair,11,5631769.0,5686373.0,0.413,0.997,16016.416,483.2,121.566
ML-DSA,ml-dsa-87,sign,11,13416174.0,36840580.0,55.145,0.965,47057.992,1708.0,129.531
ML-DSA,ml-dsa-87,verify,11,5725470.0,5725773.0,0.007,1.0,16898.62,2084.6,129.836
ML-KEM,ml-kem-1024,decaps,13,1875591.0,1876286.0,0.021,1.006,7934.107,459.2,30.34
ML-KEM,ml-kem-1024,encaps,13,1634652.0,1634995.0,0.024,1.007,6481.345,292.2,28.836
ML-KEM,ml-kem-1024,keypair,13,1462863.0,1474941.0,0.296,0.999,5567.06,142.0,25.273
ML-KEM,ml-kem-512,decaps,13,803885.0,803913.0,0.053,1.0,3589.92,186.0,19.559
ML-KEM,ml-kem-512,encaps,13,667564.0,668385.0,0.066,1.001,2727.783,116.6,18.836
ML-KEM,ml-kem-512,keypair,13,564781.0,577069.0,0.382,0.981,2142.736,57.0,16.273
ML-KEM,ml-kem-768,decaps,13,1268260.0,1268971.0,0.033,1.009,5528.903,300.0,24.371
ML-KEM,ml-kem-768,encaps,13,1089376.0,1090004.0,0.035,1.009,4381.7,189.0,23.336
ML-KEM,ml-kem-768,keypair,13,933007.0,945165.0,0.347,0.997,3603.793,91.8,20.273
SLH-DSA / SPHINCS+,sphincs-sha2-128f-simple,keypair,13,17229656.0,17230412.0,0.003,1.0,82702.349,1258.2,12.637
SLH-DSA / SPHINCS+,sphincs-sha2-128f-simple,sign,13,403414047.0,403414847.0,0.0,1.0,1936387.426,30629.0,12.941
SLH-DSA / SPHINCS+,sphincs-sha2-128f-simple,verify,13,25176953.0,25177047.0,0.002,1.0,119206.59,32393.8,12.941
SLH-DSA / SPHINCS+,sphincs-sha2-256f-simple,keypair,1,67584713.0,67585110.0,0.0,1.0,811016.556,6762.0,18.129
SLH-DSA / SPHINCS+,sphincs-sha2-256f-simple,sign,1,1503130591.0,1503160445.0,0.001,1.0,18037567.092,157074.6,18.426
SLH-DSA / SPHINCS+,sphincs-sha2-256f-simple,verify,1,39888021.0,39888734.0,0.001,1.0,478656.252,161124.0,18.426
